dlxs,new_lang,original_lang
AEL9820.0001.001,ceb,['fill: undetermined']
AFM7592.0001.001,ceb,['eng: eng']
AFJ6833.0001.001,ceb,['fill: undetermined']
AFJ6833.0001.002,ceb,['fill: undetermined']
AFQ1612.0001.001,ceb,['fill: undetermined']
AGD9059.0001.001,ceb,['fill: undetermined']
AGN4492.0001.001,ceb,[]
AFU8648.0001.001,ceb,['und: undetermined']
ACP0898.0001.001,eng spa,['mul: Multiple languages']
ACP0898.0001.010,eng spa,['mul: Multiple languages']
ACP0898.0001.004,eng spa,['mul: Multiple languages']
ACP0898.0001.005,eng spa,['mul: Multiple languages']
ACP0898.0001.006,eng spa,['mul: Multiple languages']
ACP0898.0001.009,eng spa,['mul: Multiple languages']
ACP0898.0002.001,eng spa,['mul: Multiple languages']
ACP0898.0003.001,eng spa,['mul: Multiple languages']
ACP0898.0004.001,eng spa,['mul: Multiple languages']
ACP0898.1921.001,eng spa,['mul: Multiple languages']
ACP0898.1921.002,eng spa,['mul: Multiple languages']
ACP0898.1921.003,eng spa,['mul: Multiple languages']
ACP0898.1921.004,eng spa,['mul: Multiple languages']
ACP0898.1921.008,eng spa,['mul: Multiple languages']
ACP0898.1921.010,eng spa,['mul: Multiple languages']
AQL8772.0001.001,ceb,['eng: eng']
AFU8653.0001.001,ceb,['und: undetermined']
AGY1575.0001.001,eng spa,['mul: Multiple languages']
AGY1575.0002.001,eng spa,['mul: Multiple languages']
